experiment,device_make,platform_os,response
1,13,6,1
1,27,6,1
1,71,6,1
1,62,6,1
0,13,6,0
0,13,6,0
0,13,6,1
1,13,6,0
1,13,6,0
1,41,6,1
0,13,6,0
1,13,6,0
1,68,6,1
1,13,6,0
0,13,6,1
1,13,6,1
1,13,6,0
1,13,6,0
0,1,6,1
0,64,6,0
1,13,6,1
1,13,6,0
1,13,6,1
0,66,6,0
0,13,6,0
1,13,6,1
0,104,6,1
1,13,6,0
0,13,6,0
0,71,6,1
0,13,6,1
0,13,6,0
0,13,6,1
0,68,6,0
0,51,6,0
1,13,6,0
0,23,6,1
0,66,6,0
0,13,6,0
0,13,6,0
0,13,6,1
1,13,6,0
0,13,6,0
0,13,6,0
0,32,6,1
0,111,6,0
1,13,6,0
0,13,6,1
0,13,6,0
1,45,6,1
1,13,6,1
1,66,6,1
1,21,6,0
1,68,6,1
1,68,6,0
1,68,6,1
0,13,6,0
1,13,6,1
0,72,6,1
0,68,6,1
1,41,6,0
1,48,6,0
1,13,6,0
1,26,6,0
0,72,6,1
1,13,6,1
1,13,6,1
1,13,6,1
0,13,6,0
0,13,6,0
1,13,6,0
1,13,6,1
0,72,6,1
1,13,6,1
1,61,6,0
1,13,6,1
1,13,6,1
1,13,6,0
1,13,6,1
1,13,6,0
0,68,6,0
0,3,6,0
0,13,6,0
0,13,6,1
1,13,6,1
0,68,6,0
1,13,6,0
1,13,6,0
0,72,6,1
0,47,6,0
0,13,6,1
1,13,6,1
0,67,6,1
0,95,6,1
1,13,6,0
1,68,6,0
0,65,6,1
0,13,6,0
1,64,6,1
1,13,6,1
1,13,6,0
1,13,6,0
0,13,6,0
1,90,6,1
0,13,6,1
1,13,6,0
0,43,6,1
1,13,6,1
1,48,6,0
1,13,6,0
0,81,6,1
0,13,6,1
0,13,6,0
0,13,6,1
0,13,6,0
1,13,6,0
0,13,6,0
1,66,6,1
0,13,6,0
1,68,6,0
0,13,6,0
0,52,6,1
0,60,6,0
1,13,6,0
0,64,6,1
0,67,6,1
1,53,6,1
0,114,5,0
1,13,6,0
1,13,6,1
1,13,6,1
0,48,6,1
1,13,6,1
1,13,6,0
0,13,6,0
0,66,6,1
1,13,6,1
1,13,6,1
0,72,6,0
0,13,6,0
1,13,6,1
1,61,6,0
0,13,6,1
0,78,6,1
1,13,6,0
0,13,6,1
0,13,6,1
0,47,6,0
1,48,6,1
1,13,6,1
1,72,6,0
1,25,6,0
1,13,6,1
0,13,6,0
1,68,6,1
0,68,6,0
1,13,6,1
1,68,6,0
1,61,6,1
0,13,6,1
0,8,6,1
1,27,6,0
1,13,6,0
1,58,6,0
0,47,6,0
0,64,6,1
0,13,6,1
1,68,6,0
0,23,6,0
1,13,6,0
0,13,6,0
0,13,6,1
1,13,6,1
1,13,6,1
1,13,6,1
1,13,6,1
0,13,6,0
1,42,6,0
0,64,6,0
0,51,6,0
0,13,6,0
1,13,6,0
1,13,6,0
1,19,6,0
0,81,6,1
1,13,6,0
