experiment,device_make,platform_os,response
0,13,6,1
1,43,6,0
1,13,6,1
1,44,6,0
0,110,6,0
1,49,6,1
0,13,6,0
0,13,6,1
1,13,6,1
1,13,6,0
0,13,6,0
1,47,6,0
1,13,6,0
0,13,6,0
0,33,6,0
0,42,6,1
0,86,6,0
1,13,6,0
0,68,6,1
1,13,6,0
1,13,6,1
1,13,6,1
1,13,6,1
0,72,6,0
1,13,6,0
1,69,6,1
0,24,6,0
1,13,6,0
0,13,6,1
0,13,6,0
0,11,6,1
0,41,6,1
0,66,6,0
1,13,6,0
0,13,6,0
1,2,6,0
0,13,6,0
0,13,6,0
1,13,6,0
0,13,6,0
0,105,6,0
0,68,6,1
1,43,6,1
1,13,6,1
1,13,6,0
1,44,6,0
0,13,6,1
1,13,6,0
1,13,6,0
1,13,6,0
0,13,6,1
0,13,6,0
0,13,6,1
0,1,6,0
0,13,6,0
0,21,6,1
0,60,6,0
1,13,6,0
0,13,6,0
1,65,6,0
0,66,6,1
1,13,6,0
0,13,6,0
1,13,6,1
1,13,6,0
1,13,6,1
1,103,6,0
1,13,6,0
0,13,6,1
1,13,6,1
0,13,6,0
0,5,6,1
1,13,6,0
1,66,6,1
0,42,6,1
1,13,6,0
0,68,6,0
0,13,6,1
1,13,6,1
0,13,6,1
1,13,6,0
0,13,6,1
0,42,6,1
0,13,6,1
1,13,6,1
1,13,6,0
0,13,6,1
0,13,6,1
1,13,6,1
0,13,6,0
1,21,6,1
0,83,6,0
1,68,6,1
0,13,6,0
1,13,6,0
1,13,6,0
0,13,6,1
1,13,6,0
0,13,6,0
1,13,6,0
0,114,5,0
0,13,6,0
0,64,6,0
0,114,5,1
0,33,6,0
1,68,6,0
0,13,6,1
1,84,6,1
0,13,6,1
1,66,6,1
0,72,6,0
0,13,6,0
0,26,6,1
0,13,6,1
0,35,6,1
0,13,6,0
0,65,6,1
1,13,6,0
1,13,6,1
1,13,6,0
0,93,6,0
0,21,6,1
1,65,6,0
0,13,6,1
1,13,6,1
0,81,6,0
1,13,6,0
0,69,6,0
1,53,6,1
1,13,6,0
0,13,6,0
1,13,6,0
0,13,6,0
0,114,5,0
0,41,6,0
1,13,6,1
0,1,6,1
0,43,6,1
1,13,6,0
0,13,6,1
1,65,6,0
1,38,6,0
1,65,6,1
0,13,6,0
0,13,6,0
0,73,6,0
0,13,6,1
0,13,6,1
1,13,6,1
0,72,6,1
0,114,5,0
1,13,6,0
1,44,6,1
0,13,6,0
0,13,6,0
1,21,6,1
0,13,6,1
1,13,6,1
1,16,6,1
1,13,6,0
0,20,6,1
0,13,6,1
1,42,6,1
0,13,6,0
0,76,6,1
0,68,6,1
0,72,6,1
1,13,6,0
1,14,6,0
0,13,6,0
1,37,6,1
0,36,6,1
1,31,6,1
1,69,6,0
1,13,6,1
1,66,6,0
0,21,6,1
1,13,6,0
0,13,6,0
1,13,6,1
0,13,6,1
0,13,6,0
1,13,6,0
1,13,6,1
0,114,5,0
0,13,6,1
1,99,6,1
1,13,6,0
1,46,6,1
0,13,6,0
1,13,6,0
0,13,6,0
0,66,6,0
1,13,6,0
1,42,6,0
0,96,6,0
1,48,6,0
0,51,6,0
0,72,6,1
1,13,6,1
0,13,6,1
0,68,6,1
1,48,6,1
0,24,6,1
0,13,6,0
1,13,6,1
0,97,6,0
1,13,6,0
0,54,6,1
1,13,6,1
0,54,6,1
0,13,6,1
0,13,6,1
0,13,6,1
1,5,6,1
0,64,6,1
1,13,6,1
0,52,6,0
1,47,6,0
1,13,6,1
0,81,6,1
1,87,6,0
1,43,6,0
1,13,6,1
1,13,6,0
0,13,6,0
1,41,6,0
1,114,5,0
0,55,6,1
0,13,6,0
1,42,6,0
1,13,6,1
1,13,6,1
1,72,6,1
0,64,6,1
1,13,6,0
0,13,6,0
0,46,6,0
1,26,6,1
0,114,5,0
0,13,6,0
1,13,6,1
1,13,6,0
1,13,6,0
1,13,6,1
1,13,6,1
0,26,6,0
1,68,6,1
